title,description,keywords,url
Artificial Intelligence: it's Future and Ours,"Panel discussion comprising John Wyatt, the Faraday Institute; Abigail Sellen, Microsoft Research Cambridge; Adrian Weller, machine learning researcher; Margaret Boden, cognitive scientist; and Jaan Tallinn, founding engineer of Skype and co-founder of the Future of Life Institute.",artificial intelligence; boden; faraday; future; religion; robotic; robots; science; sellen; tallinn; weller; wyatt,https://sms.cam.ac.uk/media/2455141
"Artificial Intelligence, Robots and Human Identity",Talk given by Prof. John Wyatt as part of Short Course 38,artificial intelligence; faraday; human; identity; reality; religion; robot; science; wyatt,https://sms.cam.ac.uk/media/2339041
A Scientific Theology? Parallels and Convergences in Science and Religion,Talk given by Prof. Alister McGrath as part of short course 4,convergence; faraday; mcgrath; parallel; religion; science; scientific; theology,https://sms.cam.ac.uk/media/1262776
Ascribing beliefs to brains,Talk given by Dr Daniel De Haan as part of short course 32 (The Believing Brain),belief; brain; dr haan; faith; faraday; mind; neuroscience; religion; science,https://sms.cam.ac.uk/media/2151501
Astro-Ethics and the Search for Life,Lecture given by Prof. Ted Peters as part of summer course6,6; astro; ethics; extraterrestrial; faraday; life; peters; religion; science; seti,https://sms.cam.ac.uk/media/1160874
Astronomy and the Date of the Crucifixion,Talk given by Prof. Sir Colin Humphreys as part of Short Course 3: Science and Religion for Church Leaders,astonomy; astrophysics; crucifixion; easter; faraday; good friday; humphreys; jesus; religion; science,https://sms.cam.ac.uk/media/2723979
A Sustainable Climate,Talk given by Sir John Houghton as part of the Unsustainability Day Conference,climate; faraday; houghton; religion; science; sustainable,https://sms.cam.ac.uk/media/1217222
A Theist's Perspective on the Philosophy of Science and Religion,"Talk given by Prof. Keith Ward as part of the science, religion and atheism short course",atheism; faraday; philosophy; religion; science; theist; theistic; ward,https://sms.cam.ac.uk/media/1238620
A Theological Approach to the Environment and Climate Change,Lecture given by Revd Dr John Weaver as part of short course 18,climate; environment; faraday; religion; science; short course 18; theological approach; theology; weaver,https://sms.cam.ac.uk/media/1071889
Being a Christian in Science,"Talk given by Sir Brian Heap as part of the Church Leaders' course, 2007",christian; church; faraday; heap; religion; science; science; testimony,https://sms.cam.ac.uk/media/2752634
Being Human in an age of nearly-human machines,Talk given by Prof. John Wyatt at Science and Faith Workshop 2018,ai; artificial intelligence; faith; faraday; science; wyatt,https://sms.cam.ac.uk/media/2657898
Beyond Separation or Synthesis: Christ and Evolution as Theodrama,Research Seminar given by Prof. Celia Deane-Drummond,and; as; beyond; celia; christ; deane; drummond; evolution; faraday institute; or; research seminar; separation; synthesis:; theodrama,https://sms.cam.ac.uk/media/529846
Biblical and Scientific Anthropologies in Conversation,"A talk given by Prof. Susan Eastman on the Short Course - Robots, Reality and Religion.",anthropology; biblical studies; eastman; faraday; religion; robots; science,https://sms.cam.ac.uk/media/2324682
Biblical and theological perspectives on personhood,Talk given by Dr Hilary Marlow as part of short course 33 (Science and Faith in the Local Church),bible; faraday; marlow; personhood; religion; science; theology,https://sms.cam.ac.uk/media/2171153
Biblical Approaches to the Environment,Talk given by Dr Cherryl Hunt as part of Short Course 40: Biblical Approaches to the Envrionment,bible; environment; faraday; hunt; religion; science; theology,https://sms.cam.ac.uk/media/2526781
Biblical Teachings on Environmental Stewardship and Caring for Creation,Talk given by Prof. Calvin DeWitt as part of short course 11,bible; biblical; creation; dewitt; environment; environmental; faraday; religion; science; stewardship,https://sms.cam.ac.uk/media/1215421
Big Questions in Science and Religion,"Talk given by Revd Prof. Keith Ward as part of the Faraday Day Conference in Southampton, 30 November 2013",faraday; questions; religion; science; ward,https://sms.cam.ac.uk/media/1645696
"Big Science, Big God",Talk given by Prof. Sir John Houghton as part of short course 9,big; faraday; god; houghton; religion; science,https://sms.cam.ac.uk/media/1226056
Biodiversity and Spirituality,"Panel Discussion as part of the Science Festival on 13th March.
Panel members: Prof. R J Berry
Dr Barny Dickson
Dr Hilary Marlow
Dr Simon Stuart
Chair: Prof. Bob White",barny; berry; biodiversity; bob; dickson; discussion; faraday institute; festival; hilary; marlow; panel; religion; science; simon; spirituality; stuart; white,https://sms.cam.ac.uk/media/746115
Bioethical Challenges in the Genome Era,Talk given by Dr Francis Collins as part of short course 7,bioethics; collins; faraday; francis; genome; religion; science,https://sms.cam.ac.uk/media/1229339
Bioethics in the Media and Public Policy,Talk given by Prof. David Cook as part of short course 2,bioethics; cook; ethics; faraday; media; policy; public; religion; science,https://sms.cam.ac.uk/media/1272734
