title,description,keywords,url
Divine Action,Talk given by Revd Dr John Polkinghorne as part of summer course 1,action; divine; faraday; god; polkinghorne; religion; science,https://sms.cam.ac.uk/media/1266374
Divine Action and the Brain,Talk given by Dr Stuart Judge as part of summer course 1,action; brain; divine; faraday; god; judge; religion; science,https://sms.cam.ac.uk/media/1274976
Divine Action in Modern Science,Talk given by Dr Nicholas Saunders as part of summer course 1,action; divine; faraday; god; modern; religion; saunders; science,https://sms.cam.ac.uk/media/1274843
Does Biological Enhancement of the Brain affect our Status as Images of God?,Talk given by Prof. Gareth Jones as part of summer course 1,biological; brain; enhancement; faraday; god; image; jones; religion; science; status,https://sms.cam.ac.uk/media/1266995
Does Cognitive Psychology Subvert Religious Belief?,Research Seminar given by Prof. James Jones Tuesday 14th May 2013,faraday; jones; psychology; religion; science,https://sms.cam.ac.uk/media/1485857
Does Evolutionary Theory Undermine Religious Belief?,"Talk given by Prof Michael Murray at Summer Course 9,2014.",evolution; faraday; murray; religon; science,https://sms.cam.ac.uk/media/1781841
Does Evolution have any Religious Significance?,Talk given by Dr Denis Alexander as part of short course 4,alexander; evolution; faraday; religion; religious; science; significance,https://sms.cam.ac.uk/media/1269105
Does matter matter? Fundamental physics and ideas about God,"Talk given by Dr Gillian Straine as part of short course 31, March 2015",faraday; god; matter; physics; religion; science; straine; theology,https://sms.cam.ac.uk/media/1946726
Does Quantum Mechanics have any Relevance for Religious Belief?,Research seminar given by Dr Peter Bussey,belief; bussey; faraday; quantum; relevance; religion; religious; science,https://sms.cam.ac.uk/media/1209692
Does Religion Block Scientific Advance?,Talk given by Prof. David Cook as part of summer course 2,advance; block; cook; faraday; religion; science; scientific,https://sms.cam.ac.uk/media/1251353
Does Religious Belief need Justification?,Talk given by Prof. Roger Trigg as part of summer course 1,belief; faith; faraday; justification; religion; religious; science; trigg,https://sms.cam.ac.uk/media/1276772
Does the Advance of Science mean Secularisation?,Public lecture given by Prof. David Martin,advance; faraday; martin; religion; science; secularisation,https://sms.cam.ac.uk/media/1213001
Does the Evolutionary Narrative tend to support Theism?,"Talk given by  Prof. Simon Conway Morris as part of the science, religion and atheism course",atheism; conway morris; evolution; evolutionary; faraday; narrative; religion; science; support; theism,https://sms.cam.ac.uk/media/1242340
Does the History of Science and Religion change depending on the Narrator? An Atheist's and Agnostic's View,"Talk given by Prof. Bernard Lightman as part of the science, religion and atheism course",agnostic; atheism; atheist; change; depend; faraday; history; lightman; narrator; religion; science,https://sms.cam.ac.uk/media/1248893
Does the History of Science and Religion change depending on the Narrator? A Theist's View,"Talk given by Dr Allan Chapman as part of the science, religion and atheism course",atheism; change; chapman; depend; faraday; history; narrator; religion; science; theist,https://sms.cam.ac.uk/media/1248941
Does the Universe need God?,Public lecture given by Prof. Hans Halvorson,faraday; god; halvorson; need; philosophy; religion; science; universe,https://sms.cam.ac.uk/media/1645638
Do Scientist Believe In God? Results from an Eight-Nation Study,The Faraday Institute and Christians in Science Public Lecture - November 2016,christianity; ecklund; faraday institute; religious and science; rice university; science; sociology,https://sms.cam.ac.uk/media/2375651
Earthing Theology: Caring for Creation in Urban and Rural Contexts,Lecture given by Revd Dave Bookless as part of Faraday Institute Summer Course 6,bookless; caring; contexts; creation; dave; earthing; environment; faraday institute; religion; rural; science; theology; urban,https://sms.cam.ac.uk/media/729498
Ecological Hope in Crisis?,Research seminar given by Prof. Richard Bauckham.,bauckham; crisis; ecological; ecology; faraday; hope; religion; science,https://sms.cam.ac.uk/media/1332479
"Ecology, Biodiversity and Sustainability",Talk given by Dr Marie Connett Porceddu as part of short course 11,biodiversity; connett; ecology; faraday; porceddu; religion; science; sustainability,https://sms.cam.ac.uk/media/1214752
Ecology: Living Communities,Talk given by Dr Margaret Miller as part of short course 34 (Biology and Belief),belief; biology; community; ecology; faraday; miller; religion; science,https://sms.cam.ac.uk/media/2183532
"Embodied Souls, Ensouled Bodies",Lecture given by Dr Marc Cortez as part of Summer Course 6,6; body; cortez; faraday; religion; science; soul,https://sms.cam.ac.uk/media/1161677
Emergence,Talk given by Prof. Philip Clayton as part of summer course 1,clayton; emergence; faraday; religion; science,https://sms.cam.ac.uk/media/1293780
"Emergence, Top Down Causation and Reductionism","Research Seminar Tuesday 30th April, Prof George Ellis FRS.",,https://sms.cam.ac.uk/media/1472806
Environmental Justice and the Biblical Prophets,Talk given by Dr Hilary Marlow as part of short course 11,bible; biblical; environment; faraday; justice; marlow; prophet; religion; science,https://sms.cam.ac.uk/media/1217074
Environmental Unsustainability: How much should we discount the future?,Talk given by Prof. Donald Hay as part of the Unsustainability Day Conference,discount; economics; environment; environmental; faraday; future; hay; religion; science; unsustainability,https://sms.cam.ac.uk/media/1218931
Eschatology and the Future of the Universe,Research Seminar given by Revd Dr David Wilkinson,eschatology; faraday; future; religion; science; universe; wilkinson,https://sms.cam.ac.uk/media/1208868
Eschatology in the Anthropocene,Research seminar given by Prof. Michael Northcott on 14th October 2014,anthropocene; climate; climate change; eschatology; faraday; global warming; human; northcott; political; politics; religion; science; theology,https://sms.cam.ac.uk/media/1822840
Ethical and Theological Considerations in the Use of Stem Cells in Brain Repair,Research Seminar given by Dr Roger Barker,barker; brain; ethics; faraday; religion; repair; science; stem cell; theology,https://sms.cam.ac.uk/media/1265289
Ethical Aspects of Science Policy,Research Seminar given by Prof. John Wood,ethical; ethics; faraday; policy; religion; science; wood,https://sms.cam.ac.uk/media/1221785
Ethical Challenges in Contemporary Biology,Lecture given by Dr Cherryl Hunt as part of Faraday Institute Summer Course 4,biology; challenges; cherryl; contemporary; ethical; faraday institute; hunt; lecture; religion; science; summer course,https://sms.cam.ac.uk/media/686507
Ethical Challenges in Contemporary Science,Lecture given by Dr Cherryl Hunt as part of Summer Course 5,5; challenges; cherryl; contemporary; ethical; faraday institute; hunt; lecture; religion; science; summer course,https://sms.cam.ac.uk/media/868565
Ethical Implications of Emotionally Responsive Machines,"Talk given by Prof. Peter Robinson as part of Short Course 36: Robots, Reality and Religion",emotion; emotional; ethics; faraday; machine; religion; robinson; robot; science,https://sms.cam.ac.uk/media/2369313
Ethical issues at the beginning and end of life,Talk given by Prof John Wyatt at Summer Course 10 on Friday 10th July 2015,birth; end of life; ethical; faraday; wyatt,https://sms.cam.ac.uk/media/2054563
Ethical Issues in Public Policy,alk given by Prof. Derek Burke as part of short course 2,burke; ethical; ethics; faraday; policy; public; religion; science,https://sms.cam.ac.uk/media/1272285
Ethical Issues in the Public Mind,Talk given by Dr Pete Moore as part of short course 2,ethical; ethics; faraday; mind; moore; public; religion; science,https://sms.cam.ac.uk/media/1272997
Ethical Issues Raised by Science,Talk given by Dr Pete Moore as part of short course 2,ethical; ethics; faraday; moore; religion; science,https://sms.cam.ac.uk/media/1273125
Evil in Evolution - a Philosopher's Perspective,"Talk given by Prof. Michael Murray as part of Summer Course 9, 2014",evil; evolution; faraday; murray; philosophy; religion; science; theodicy,https://sms.cam.ac.uk/media/1788419
"Evolution, Adam and Eve, The Fall and Suffering",Talk given by Dr Denis Alexander at Summer Course 12 - 2017,alexander; bible; evolution; faraday; science; suffering,https://sms.cam.ac.uk/media/2556104
Evolution and Fine-Tuning in Biological Complexity,Talk given by Dr Ard Louis as part of summer course 2,biological; biology; complexity; evolution; faraday; fine-tuning; louis; religion; science,https://sms.cam.ac.uk/media/1230852
Evolution and Fine-Tuning in Biology,Talk given by Prof. Simon Conway Morris as part of summer course 2,biology; conway morris; evolution; faraday; fine-tuning; religion; science,https://sms.cam.ac.uk/media/1223755
Evolution and Fine-Tuning in Biology - Part 1,Talk given by Prof. Simon Conway Morris as part of Summer Course 1,biology; conway morris; evolution; faraday; fine-tuning; religion; science,https://sms.cam.ac.uk/media/2715394
Evolution and Fine-Tuning in Biology - Part 2,Talk given by Prof. Simon Conway Morris as part of Summer Course 1,biology; conway morris; evolution; faraday; fine-tuning; religion; science,https://sms.cam.ac.uk/media/2715408
Evolution and Theology: Are they Connected?,Talk given by Prof. Sam Berry as part of summer course 1,berry; evolution; faraday; religion; science; theology,https://sms.cam.ac.uk/media/1296468
Evolution and the Qur'an in the Contemporary Muslim World,"Talk given by Prof. Martin Riexinger at Faraday Course, Reading the World: Science and Sacred Texts",evolution; qur'an; religion; riexinger; science,https://sms.cam.ac.uk/media/2531511
Evolutionary Biology and the Bible,Talk given by Dr Hilary Marlow as part of Short Course 40: Reading the World: Science and Sacred Texts,bible; biology; evolution; faraday; marlow; religion; science; theology,https://sms.cam.ac.uk/media/2533089
Evolutionary Evil and a Good Creation?,Talk given by Prof. Jeff Schloss as part of short course 7,creation; evil; evolution; faraday; good; religion; schloss; science; theodicy,https://sms.cam.ac.uk/media/1228234
Evolutionary Theory and Public Spectacle: The Fortunes of Darwinism in the Calvinist Cultures of Victorian Calvinist Edinburgh and Belfast,Research Seminar given by Prof. David Livingstone,belfast; calvinist; culture; darwinism; edinburgh; evolution; evolutionary; faraday; livingstone; public; religion; science; victorian,https://sms.cam.ac.uk/media/1227718
"Evolution, Cooperation and God",A discussion of the Aberdeen Gifford Lectures 2012 given by Prof. Sarah Coakley,coakley; cooperation; evolution; faraday; religion; science,https://sms.cam.ac.uk/media/1342005
"Evolution, Emergence and Philosophy","Talk given by Prof. Tim O'Connor as part of short course 27, April 2014",biology; emergence; evolution; faraday; o'connor; philosophy; religion; science,https://sms.cam.ac.uk/media/1709383
Evolving Evolution,"Talk given by Graham O'Brien as part of the New Zealand Conference, 2009",biology; evolution; faraday; o'brien; religion; science,https://sms.cam.ac.uk/media/2770885
"Exoplanets, Life and Human Significance",CiS - Faraday Public Lecture given by Dr Jennifer Wiseman (NASA)  on 1st March 2011,exoplanets; faraday; human; jennifer; life; religion; science; significance; wiseman,https://sms.cam.ac.uk/media/1104765
Explanation in Science and Religion,Talk given by Prof. Philip Clayton as part of summer course 1,clayton; explanation; faraday; philosophy; religion; science,https://sms.cam.ac.uk/media/1293359
Exploring the relationship between Science and Religon,Talk given at Summer Course 9 by Prof Tom McLeish,faraday; mcleish; religion; science,https://sms.cam.ac.uk/media/1758849
Extra-terrestrial intelligence: scientific and theological issues,Talk given by Revd Prof. David Wilkinson as part of Summer Course 10,extra-terrestial; extraterrestrial; faraday; intelligence; religion; science; scientific; theological; wilkinson,https://sms.cam.ac.uk/media/2038006
Faith and Neuroscience: Friend of Foe?,Seminar given by Prof. Alasdair Coles,brain; coles; faith; faraday institute; neuroscience; religion,https://sms.cam.ac.uk/media/2761263
Faith and Science,A conversation between Rowan Williams and Raymond Tallis chaired by Alison Joseph,faith; faraday; religion; science; tallis; williams,https://sms.cam.ac.uk/media/1615165
Faith and Science for a Sustainable World,"Research Seminar given by Prof. Mathias Klaui, November 2018",climate change; environment; faith; faraday; klaui; religion; science; sustainable,https://sms.cam.ac.uk/media/2879235
Faith and the developing brain,Talk given by Dr Duncan Astle as part of short course 32 (The Believing Brain),astle; brain; child; faith; faraday; religion; science,https://sms.cam.ac.uk/media/2170234
Faith and Wisdom in Science,Research seminar given by Prof. Tom McLeish on 13 May 2014,faith; faraday; mcleish; religion; science; wisdom,https://sms.cam.ac.uk/media/1719022
Faithful to Science: the role of science in religion,"Research Seminar given by Prof. Andrew Steane, February 2015",faithful; faraday; religion; role; science; steane,https://sms.cam.ac.uk/media/1901397
Faith in an Age of Science: The Challenge of the Neurosciences,Talk given by Prof. Bill Newsome as part of short course 3,challenge; faith; faraday; neuroscience; newsome; religion; science,https://sms.cam.ac.uk/media/1263928
Faith in a Sustainable Future,Public Lecture given by Bill McKibben on 28th September 2011,faith; faraday; future; mckibben; religion; science; sustainable,https://sms.cam.ac.uk/media/1175918
Faith in dementia: authenticity and neuroscience,Talk given by Prof. Julian Hughes as part of short course 32 (The Believing Brain),brain; dementia; faith; faraday; hughes; neuroscience; religion; science,https://sms.cam.ac.uk/media/2166440
Final Theological Reflections,Lecture given by Revd Dr John Polkinghorne as part of the Lemaitre Conference on 10 April 2011,faraday; lemaitre; polkinghorne; reflections; religion; science; theological,https://sms.cam.ac.uk/media/1140714
Flesh Made Data: the Post Human Project in the Light of Incarnation,Research Seminar given by Prof. Brent Waters 12th November 2013,data; faraday; incarnation; religion; science; waters,https://sms.cam.ac.uk/media/1601381
Food Security and Modern Genetics,Talk given by Sir Brian Heap as part of short course 22,faraday; food; genetic engineering; genetics; heap; religion; science; security,https://sms.cam.ac.uk/media/1315436
"Forgiveness, gratitude and hope in psychology and theology",Talk given by Dr Liz Gulliford as part of short course 32 (The Believing Brain),brain; brain; faith; forgiveness; gratitude; gulliford; hope; psychology; religion; science; theology,https://sms.cam.ac.uk/media/2166611
"Fossils, Evolution and the Bible","Talk given by Lizzie Coyle as part of Hull day course, February 2016",bible; coyle; evolution; faith; faraday; fossils; hull; religion; science,https://sms.cam.ac.uk/media/2217279
Free Choice and the Brain: Interpreting volition in a post-Libet Era,Research Seminar given by Prof. Bill Newsome,brain; choice; faraday; free; libet; newsome; religion; science; volition,https://sms.cam.ac.uk/media/1254928
Free Will and Determinism,"Talk given by Prof Tim O'Connor at Philosophy, Science and Faith",determinism; faraday; free will; o'connor; religion,https://sms.cam.ac.uk/media/1717380
Free Will and the Scientific Study of the Mind: Oil and Water?,Lecture given by Prof. Tim O'Connor as part of Summer Course 6,6; faraday; free will; mind; o'connor; oil; religion; science; study; water,https://sms.cam.ac.uk/media/1164472
From Darwin to Scopes,Talk given by Revd Michael Roberts as part of Summer Course 1,darwin; evolution; faraday; religion; roberts; science; scopes,https://sms.cam.ac.uk/media/2723893
From Physics to Theology: A Personal Story,Public lecture given by Prof. Jurgen Moltmann on 14th February 2012,faraday; moltmann; personal; physics; religion; science; story; theology,https://sms.cam.ac.uk/media/1215014
"Galaxies, Starts, Planets and Life: Investigating a Fruitful Universe","Research Seminar given by Dr Jennifer Wiseman, May 2017",cosmology; faraday; fruitful; galaxy; life; nasa; religion; science; space; stars; universe; wiseman,https://sms.cam.ac.uk/media/2507806
Genes and Embryos,A lecture given by Prof. John Bryant as part of Summer Course 5,5; bryant; embryos; faraday institute; genes; john; religion; science; summer course,https://sms.cam.ac.uk/media/869386
"Genes, Determinism and God",The CiS - Faraday Public Lecture given by Dr Denis Alexander on Thursday 6th June 2013,alexander; determinism; genes; god,https://sms.cam.ac.uk/media/1497687
Genesis and Evolution,"Talk given by Revd Dr Ernest Lucas as part of God and Biology course, 2007",evolution; faraday; god; lucas; religion; science,https://sms.cam.ac.uk/media/2752621
Genesis and Phylogenesis,"Talk given by Dr Graeme Finlay of the University of Auckland as part of Short Course 3, 2006",evolution; faraday; finlay; genesis; phylogenesis; religion; science,https://sms.cam.ac.uk/media/2708782
"Genes - Makeup, Manipulation and Movement","Talk given by Prof. John Bryant as part of the Church Leaders Course, 2007",bryant; church; faith; faraday; genetics; religion; science,https://sms.cam.ac.uk/media/2756397
Genetic and Cellular Complexity: A Critique of Intelligent Design,Talk given by Dr Denis Alexander as part of short course 22,alexander; cell; cellular; complexity; critique; faraday; genetic; intelligent design; religion; science,https://sms.cam.ac.uk/media/1314335
Genetic Engineering: How far should we go?,Lecture given by Prof. John Bryant as part of Short Course 18,bryant; faraday; faraday institute; genetic; genetic engineering; how far; religion; science; short course,https://sms.cam.ac.uk/media/1072460
Genetic Engineering: How far should we go? (updated),Talk given by Prof. John Bryant as part of short course 22,bryant; engineering; ethics; far; faraday; genetic; religion; science,https://sms.cam.ac.uk/media/1301615
Genetic Engineering in Health and Disease,Talk given by Prof. John Bryant as part of short course 10,bryant; disease; ethics; faraday; genetic; genetic engineering; health; religion; science,https://sms.cam.ac.uk/media/1220838
Genetics and Bioethics,Talk given by Prof. Keith Fox as part of short course 33 (Science and Religion in the Local Church),bioethics; church; ethics; faraday; fox; genetics; religion; science,https://sms.cam.ac.uk/media/2155619
Genetics and Human Evolution,Talk given by Dr Nicholas Ray as part of Summer Course 10,evolution; faraday; genetics; human; ray; religion; science,https://sms.cam.ac.uk/media/2038156
Genetics and Human Identity,Talk given by Prof. Keith Fox as part of short course 22,faraday; fox; genetics; human; identity; religion; science,https://sms.cam.ac.uk/media/1315249
"Genetics, Brain Plasticity and Personhood",Talk given by Prof. Peter Clarke as part of summer course 3,brain; clarke; faraday; genetics; personhood; plasticity; religion; science,https://sms.cam.ac.uk/media/1210976
"Genetics, God and the Future of Humanity","Research Seminar given by Dr Denis Alexander, November 2018",alexander; crispr; embryo; enhancement; ethics; faraday; future; genetics; god; healing; religion; science,https://sms.cam.ac.uk/media/2879275
"Genetics, plasticity and personhood: the Brain in the 21st Century",Talk given by Prof. Gareth Jones as part of Summer Course 1,brain; faraday; genes; genetics; human; jones; neuroscience; plasticity; religion; science,https://sms.cam.ac.uk/media/2719222
"Genetics, Plasticity and Personhood: The Brain in the 21st Century",Lecture given by Prof. Gareth Jones as part of summer course 2,brain; faraday; genetics; jones; personhood; plasticity; religion; science,https://sms.cam.ac.uk/media/1209827
Getting to grips with bioethics,Talk given by Professor Keith Fox at the Science and Faith Workshop 2018,bioethics; faith; faraday; fox; genes; science,https://sms.cam.ac.uk/media/2654975
Global Warming and Society's Response,"Talk given by Sir John Houghton as part of Short Course 2: Science, Faith and Society",climate change; environment; faraday; global warming; houghton; religion; science; society,https://sms.cam.ac.uk/media/2723944
Global Warming: How should churches respond?,"Talk given by Prof. Bob White as part of the Church Leaders' course, 2007",christian; church; climate change; environment; faraday; global warming; religion; science; white,https://sms.cam.ac.uk/media/2752647
GM crops and GM food - Do we need them?,Talk given by Prof. Joe Perry as part of Summer Course 1,crops; faraday; food; genetic engineering; genetic modification; perry; religion; science,https://sms.cam.ac.uk/media/2719536
God and Astrophysics,"Talk given by Dr Peter Bussey at Faraday CiS one day course, 30th November 2013",astrophysics; bussey; religion; science,https://sms.cam.ac.uk/media/1644521
God and Biology Panel discussion,"Panel Discussion between Dr Denis Alexander, Prof. Simon Conway Morris, Dr Francis Collins, Prof. Michael Ruse and Prof. Ron Numbers.  Part of the God and Biology Course, 2007",alexander; biology; collins; conway morris; faraday; god; numbers; religion; ruse; science,https://sms.cam.ac.uk/media/2752588
God and Cosmology,"Talk given by Revd Prof. David Wilkinson as part of summer course 9, July 2014",astrophysics; cosmology; faraday; god; religion; science; theology; wilkinson,https://sms.cam.ac.uk/media/1764141
God and Darwin,"Panel discussion (part of Science Week)
Chair: Dr Denis Alexander
Panel: Prof. John Hedley Brooke
Prof. Simon Conway Morris FRS
Prof. Michael Reiss
Dr David Summers",alexander; conway; darwin; david; denis; discussion; faraday institute; god; john hedley brooke; michael; morris; panel; reiss; simon; summers,https://sms.cam.ac.uk/media/537124
God and Natural Evil,Talk given by Dr Vinoth Ramachandra as part of Summer Course 11,evil; faraday; god; natural; nature; ramachandra; religion; science; theology,https://sms.cam.ac.uk/media/2285960
God and Origins: Interpreting the Early Chapters of Genesis,Talk given by Dr Richard Hess as part of short course 12,faraday; genesis; god; hess; origin; religion; science,https://sms.cam.ac.uk/media/1209006
God and the Order of Nature: Unity and Plurality,"Research seminar given by Dr Shaun Henson, May 2016",creation; faraday; god; nature; order; orderliness; plurality; religion; science; unity; universe,https://sms.cam.ac.uk/media/2235319
God and Time,Talk given by Prof. Dean Zimmerman as part of summer course 3,faraday; god; religion; science; time; zimmerman,https://sms.cam.ac.uk/media/1212842
"God, Artificial Intelligence and Humans",Public Lecture given by Prof. Peter Robinson and Prof. John Wyatt,artificial intelligence; christian; faraday; god; humanity; person; personhood; religion; robinson; science; wyatt,https://sms.cam.ac.uk/media/2778508
"God, Darwin and Design","Public CiS - Faraday Lecture given by Prof. Kenneth Miller of Brown University, USA",brown; christians; darwin; design; faraday institute; god; ken; kenneth; lecture; miller; religion; science,https://sms.cam.ac.uk/media/546181
"God, DNA and Genetics",Talk given by Prof. Keith Fox as part of Short Course 38: Science and Faith in the Local Church,dna; faraday; fox; genes; genetics; god; religion; science,https://sms.cam.ac.uk/media/2403744
"God - Incompetent, Impotent, Interfering or What?",Talk given by Prof. Sam Berry as part of Summer Course 1.,berry; faraday; god; impotent; incompetent; interfering; religion; science,https://sms.cam.ac.uk/media/2742198
"God, Mind and Brain",Public Christians in Science - Faraday Institute Lecture given by Prof. Bill Newsome on 27th April 2010,bill; brain; christians; faraday institute; god; lecture; mind; newsome; public; religion; science,https://sms.cam.ac.uk/media/760158
"God, Providence and the Evolutionary Phenomenon of Cooperation","Public CiS-Faraday lecture given by Prof. Sarah Coakley, November 2008",2008; and; by; coakley; cooperation; evolutionary; faraday institute; given; god; lecture; november; of; phenomenon; prof.; providence; public; sarah; the,https://sms.cam.ac.uk/media/516654
"God, Science and the New Atheism",Public CiS-Faraday Institute Lecture by Prof. Keith Ward,atheism; christians; faraday institute; god; in; keith; lecture; science; science; ward,https://sms.cam.ac.uk/media/525753
God's Philosophers: How the Mediaeval World laid the Foundations of Modern Science,Talk given by James Hannam at Summer Course 5,5; faraday institute; foundations; god; hannam; james; laid; mediaeval; modern; philosopher; religion; science; science; summer course; world,https://sms.cam.ac.uk/media/866809
God's Two Books in Islam and Christianity,"Talk given by James Hannam and Laura Hassan as part of Shocr Course 40, Reading the World: Science and Sacred Texts",bible; book; christianity; faraday; god; hannam; hassan; islam; qur'an; religion; science; scripture,https://sms.cam.ac.uk/media/2490719
Governing for Sustainability,Lecture given by Paul Chambers as part of the Sustainability in Crisis Conference on 28th September 2011,chambers; crisis; faraday; governing; religion; science; sustainability,https://sms.cam.ac.uk/media/1181736
Governing for Sustainability Panel Discussion,"Panel discussion between Andy Atkins, Douglas Crawford-Brown and Peter Melchett as part of the Sustainability in Crisis Conference, 28th September 2011",atkins; crawford; crisis; faraday; governing; melchett; panel; religion; science; sustainability,https://sms.cam.ac.uk/media/1182113
"Gravity, Black Holes and Ultimate Reality",Talk given by Prof. Chris Done,black holes; done; faraday; gravity; newton; religion; science,https://sms.cam.ac.uk/media/2607262
Habitable Exoplanets: The Implications for Human Significance,Talk given by Dr Jennifer Wiseman as part of summer course 7,exoplanet; faraday; habitable; human; religion; science; significance; wiseman,https://sms.cam.ac.uk/media/1280913
Handling Ethics in the Public Domain,Talk given by Prof. Michael Reiss as part of Short Course No. 10: Ethics on the Frontiers of Science: Religion – Help or Hindrance?,ethics; faraday; public; reiss; religion; science,https://sms.cam.ac.uk/media/2760656
Handling Questions on Science and Religion in the Parish,Lecture given by Revd Dr Patrick Richmond as part of short course 19,faraday; parish; patrick; question; religion; richmond; science,https://sms.cam.ac.uk/media/1092820
Hasn't Science Disproved God,"Talk by Martin Buzza as part of Hull day course, February 2016",buzza; faraday; god; hull; prove; religion; science; science,https://sms.cam.ac.uk/media/2217429
Has Religion Evolved?,Lecture given by Dr David Lahti as part of Summer Course 6,6; evolution; evolved; faraday; lahti; religion; science,https://sms.cam.ac.uk/media/1163812
Has Science Eliminated God? An Engagement with Richard Dawkins' Views on Science and Religion,Talk given by Prof. Alister McGrath as part of short course 4,dawkins; elimiated; faraday; god; mcgrath; religion; science; views,https://sms.cam.ac.uk/media/1263666
Has Science Eliminated God? Dawkins and the Meaning of Life,Public Lecture given by Prof. Alister McGrath,dawkins; elimiate; faraday; god; life; mcgrath; meaning; religion; science; science,https://sms.cam.ac.uk/media/1213026
Has science removed the need for God?,Talk given by Prof. Keith Ward as part of short course 31,faraday; god; religion; removed; science; ward,https://sms.cam.ac.uk/media/1935727
"Hearing Voices, Brain and God",Research Seminar given by Prof Andre Aleman on Tuesday 26th November 2013,aleman; brain; faraday; god; religion; science,https://sms.cam.ac.uk/media/1609667
Historical Interactions between Science and Religion part one,Talk given by Prof. Colin Russell as part of short course 1,faraday; historical; history; interaction; religion; russell; science,https://sms.cam.ac.uk/media/1295843
Historical Interactions between Science and Religion part one,Talk given by Prof. John Hedley Brooke as part of short course 4,brooke; faraday; historical; history; interactions; religion; science,https://sms.cam.ac.uk/media/1269560
Historical Interactions between Science and Religion part two,Talk given by Prof. John Hedley Brooke as part of short course 4,brooke; faraday; historical; history; interaction; religion; science,https://sms.cam.ac.uk/media/1269802
Historical Interactions between Science and Religion part two,Talk given by Prof. Colin Russell as part of short course 1,faraday; historical; history; interaction; religion; russell; science,https://sms.cam.ac.uk/media/1296067
Historical Perspectives in Science and Religion,Talk given by Prof. John Hedley Brooke as part of Summer Course 12,brooke; faraday; hedley; history; religion; science,https://sms.cam.ac.uk/media/2555489
Historical Perspectives on Christianity and Mental Illness,Research Seminar given by Dr Allan Chapman,allan; chapman; christianity; faraday institute; historical; illness; mental; perspectives; religion; research seminar; science,https://sms.cam.ac.uk/media/527086
Historical Perspectives on Natural Theology,Talk given by Dr Louise Hickman as part of Summer Course 13,bible; faraday; hickman; history; natural theology; religion; science,https://sms.cam.ac.uk/media/2791445
Historical Perspectives on Natural Theology,Talk given by Dr Louise Hickman as part of Summer Course 12,faraday; hickman; history; natural theology; religion; science; theology,https://sms.cam.ac.uk/media/2546231
How and Why Cells Die - Biological and Theological Perspectives,Research Seminar given by Prof. Andrew Wyllie on 25th January 2011,andrew; biological; cells; die; faraday; perspectives; religion; science; seminar; theological; wyllie,https://sms.cam.ac.uk/media/1093616
How did Augustine's thought shape a scientific worldview?,Research Seminar given by Prof Karla Pollmann on 6th October 2015,augustine; faraday; pollmann; religion; science,https://sms.cam.ac.uk/media/2083734
How Does God Act in the World? A Critique of Models of Divine Action,Talk given by Prof. John Pilbrow as part of Short Course 5: Science and Religion in Schools,divine action; faraday; god; models; pilbrow; religion; science; world,https://sms.cam.ac.uk/media/2742162
How does God Interact with the World?,Research Seminar given by Revd Dr John Polkinghorne,faraday; god; interact; polkinghorne; religion; science; world,https://sms.cam.ac.uk/media/1267790
How does Parliament handle Ethical Issues raised by Scientific Advance?,Talk given by John Gummer MP as part of short course 2,ethical; ethics; faraday; gummer; parliament; politics; religion; science,https://sms.cam.ac.uk/media/1274274
How do we make sense of the world in times of adversity?,Panel discussion as part of the Science Festival 2018,adversity; disaster; faraday; hardship; purpose; puttock; religion; science,https://sms.cam.ac.uk/media/2709397
How Science Learns about Unobservable Entities,Seminar given by Prof. Hasok Chang,chang; faraday; philiosophy of science; religion; science; unobservable entities,https://sms.cam.ac.uk/media/2352780
"How we are made: Embryos, Biology and Belief",CiS-Faraday Public Lecture given by Prof Jeff Hardin,biology; developmental; embryo; faraday; hardin; religion; science,https://sms.cam.ac.uk/media/2182713
Human Anthropology and the Origins of Religion,Talk given by Cara Wall-Scheffler at Summer Course 8 7th-13th July 2012,anthropology; faraday; human; religion; wall-scheffler,https://sms.cam.ac.uk/media/1571546
Human Distinctiveness and the Origin of Evil in a Biblical and Evolutionary Perspective,"Research Seminar given by Prof. Richard Middleton, May 2017",bible; christian; evil; evolution; faraday; human; middleton; religion; science,https://sms.cam.ac.uk/media/2494625
Human Embryology and Bioethics,Talk given by Prof. Gareth Jones as part of summer course 7,bioethics; embryo; embryology; ethics; faraday; human; jones; religion; science,https://sms.cam.ac.uk/media/1289842
"Human Embryonic Gene Editing: Scientific, Ethical and Theological Implications",Talk given by Dr Alexander Massmann as part of Summer Course 12,ethics; faraday; genetic; human embryo; massmann; medicine; religion; reproductive; science; theology,https://sms.cam.ac.uk/media/2583054
Human Enhancement: Ethical and Theological Issues,Talk given by Dr Michael Burdett as part of Summer Course 10,bioethics; burdett; enhancement; ethics; faraday; human; religion; science; theology,https://sms.cam.ac.uk/media/2046409
Human Enhancement: How far should we go,"Panel discussion between Dr Pete Moore, Dr Anders Sandberg, Dr Georgia Testa and Prof. John Wyatt as part of the science festival",discussion; enhancement; far; faraday; festival; human; moore; panel; religion; sandberg; science; testa; wyatt,https://sms.cam.ac.uk/media/1124315
Human Enhancement: Threat or Promise?,Research Seminar given by Prof. Gareth Jones on 4th May 2010,enhancement; faraday institute; gareth; human; jones; promise; religion; research seminar; science; threat,https://sms.cam.ac.uk/media/761595
